1;2716396;4,614851;olla (verbi)
2;1566108;2,660641;ja (konjunktio)
3;593462;1,008225;ei (verbi)
4;538609;0,915036;se (pronomini)
5;443301;0,753118;että (konjunktio)
6;417984;0,710108;joka (pronomini)
7;344927;0,585992;vuosi (substantiivi)
8;302803;0,514428;hän (pronomini)
9;267015;0,453628;myös (adverbi)
10;248176;0,421623;saada (verbi)
11;217016;0,368686;mutta (konjunktio)
12;209851;0,356513;tämä (pronomini)
13;197072;0,334803;voida (verbi)
14;192327;0,326742;tulla (verbi)
15;181128;0,307716;suomi (erisnimi)
16;171406;0,291199;tehdä (verbi)
17;165584;0,281309;kun (konjunktio)
18;161237;0,273923;pitää (verbi)
19;157837;0,268147;mukaan (prepositio)
20;149954;0,254755;uusi (adjektiivi)
21;141886;0,241048;jo (adverbi)
22;136565;0,232009;kuin (konjunktio)
23;133250;0,226377;hyvä (adjektiivi)
24;131524;0,223444;ne (pronomini)
25;128156;0,217723;sanoa (verbi)
26;117073;0,198894;kaikki (pronomini)
27;113699;0,193162;markka (substantiivi)
28;110896;0,1884;nyt (adverbi)
29;110368;0,187503;suuri (adjektiivi)
30;108963;0,185116;kertoa (verbi)
31;108891;0,184994;tai (konjunktio)
32;105813;0,179764;vain (adverbi)
33;105013;0,178405;paljon (adverbi)
34;103663;0,176112;muu (pronomini)
35;102866;0,174758;vielä (adverbi)
36;101149;0,171841;niin (adverbi)
37;99266;0,168642;oma (adjektiivi)
38;98684;0,167653;sekä (konjunktio)
39;98423;0,16721;mikä (pronomini)
40;96134;0,163321;maa (substantiivi)
41;95576;0,162373;kaksi (lukusana)
42;91546;0,155526;jos (konjunktio)
43;90391;0,153564;asia (substantiivi)
44;88709;0,150707;yksi (lukusana)
45;87324;0,148354;viime (adjektiivi)
46;86477;0,146915;he (pronomini)
47;84397;0,143381;prosentti (substantiivi)
48;83223;0,141386;ihminen (substantiivi)
49;82441;0,140058;kuitenkin (adverbi)
50;81839;0,139035;jälkeen (prepositio)
51;81135;0,137839;mies (substantiivi)
52;78233;0,132909;kanssa (prepositio)
53;77381;0,131462;aika (substantiivi)
54;75702;0,128609;noin (adverbi)
55;72808;0,123693;hyvin (adverbi)
56;71933;0,122206;ensimmäinen (lukusana)
57;70908;0,120465;jäädä (verbi)
58;69724;0,118453;työ (substantiivi)
59;69564;0,118181;ottaa (verbi)
60;68470;0,116323;me (pronomini)
61;68220;0,115898;antaa (verbi)
62;67877;0,115315;mieli (substantiivi)
63;66664;0,113255;helsinki (erisnimi)
64;66342;0,112708;haluta (verbi)
65;65887;0,111935;alkaa (verbi)
66;64598;0,109745;eu (lyhenne)
67;64470;0,109527;itse (pronomini)
68;63509;0,107895;moni (pronomini)
69;63018;0,10706;käydä (verbi)
70;62508;0,106194;kaupunki (substantiivi)
71;60963;0,103569;kolme (lukusana)
72;60603;0,102958;miljoona (lukusana)
73;59883;0,101734;osa (substantiivi)
74;59654;0,101345;stt (lyhenne)
75;59409;0,100929;alue (substantiivi)
76;59039;0,100301;eikä (verbi)
77;58672;0,099677;mm (lyhenne)
78;58046;0,098614;päästä (verbi)
79;57749;0,098109;vaikka (konjunktio)
80;57087;0,096984;lapsi (substantiivi)
